Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	ADM 116			Admiralty: Record Office: Cases	This series consists of large groups of papers made into 'cases'; it also includes a few collections of private papers, including those of Sir Eric Geddes and Sir Walter (later Viscount) Long, and a sub-series of files relating to Cabinet Committees.	1852-1965	6454 files and volumes					Normal Closure before FOI Act: 	30		C1825
>>>>   				Naval Inter-Allied Commissions of Control, 1919-1924			 	Case 3590 Vol. 2 - pulped							C70277
>>>>>> 	ADM 116/1931	Case No. 3460			Terms of armistice with Germany and prolongation thereof. Peace Treaties - Military, Naval and Air clauses; information to be obtained from Germany under Peace Treaty. Terms of armistice with Bulgaria, Turkey and Austria-Hungary	1918-1919	 	Vol. 1			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670541
>>>>>> 	ADM 116/1932	Case No. 3460			Berlin Office Infringements of Treaty of Peace; Obstructions by Germans to N.I.A.C.C.; Meetings with German Naval Peace Commission; Aeronautical Commission - control of civil aviation in Germany; Supreme Council Meetings - General, June 1920 - March 1921; Fortifications to be retained by Germany; Rights of commissions of control (Resolution of the Council of Ambassadors, 11th March, 1920)	1920-1921	 	Vol. 2			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670542
>>>>>> 	ADM 116/1933	Case No. 3460			Organisation of Inter-Allied Supervisory Commissions - Miscellaneous papers in connexion with the setting up of these commissions, 1919	1918-1919	 	Vol. 3			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670543
>>>>>> 	ADM 116/1934	Case No. 3460			Advance commission for Berlin internal arrangements; Relations between commissions, etc.	1919	 	Vol. 4			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670544
>>>>>> 	ADM 116/1935	Case No. 3460			Pack No. 4A - Matters outstanding on Allied (1920-1922) Naval Armistice Commission; Personnel of N.I.A.C.C. Pack No. 5A - Reference of matters to Council of Ambassadors, Procedure Pack No. 6A - Exchange of hydrographical information (1920-1923). Pack No.7A - German prisoners of war in England (1920-1921), information regarding. Pack No. 8A (1920) Section 1 - Departure of commission from England; (1920-1923) Section 2 - Co-operation between Allies	1920-1924	 	Vol. 5			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670545
>>>>>> 	ADM 116/1936	Case No. 3460			Pack No. 8A5 - Allowances of commissions of control on Germany - Pay, Exchange, Indemnities. Pack No. 8A11 - Manufacturers' representatives	1920-1922	 	Vol. 6			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670546
>>>>>> 	ADM 116/1937	Case No. 3460			Instructions to be communicated to German Naval Base Commission; Reduction of the German Army; Personnel of the Navy; Conference of 8th October, 1919; Reports from the Kiel District Committee; Report on the armed forces of Germany; Work of the effectivesSub-Committee of Control, 1922	1919-1922	 	Vol. 7			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670547
>>>>>> 	ADM 116/1938	Case No. 3460			Delivery of documents, drawings, etc. - 1st, 2nd and 3rd instalments; General correspondence, hasteners, etc. with German Naval Peace Commission, February 1920 - 31st July, 1922	1920-1922	 	Vol. 8			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670548
>>>>>> 	ADM 116/1939	Case No. 3460			Minutes of meetings with Germans on board H.M.S. HERCULES at Kiel and Wilhelmshaven; Reports of inspection sub-committees; Reports of the 1st to 5th inspections, 1919	1919	 	Vol. 9			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670549
>>>>>> 	ADM 116/1940	Case No. 3460			German protests against decisions of the N.I.A.C.C. and M.I.A.C.C.; Procedure for forwarding protests to the Allies	1922-1923	 	Vol. 10			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670550
>>>>>> 	ADM 116/1941	Case No. 3460			Behaviour of Germans (general) - incidents at Bremen, Prenzlau, Berlin and Schweinemunde	1920-1921	 	Vol. 11			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670551
>>>>>> 	ADM 116/1942	Case No. 3460			Periodical Reports	1920-1924	 	Vol. 12			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670552
>>>>>> 	ADM 116/1943	Case No. 3460			Reduction and withdrawal of N.I.A.C.C., 1921-1922	1920-1924	 	Vol. 13			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670553
>>>>>> 	ADM 116/1944	Case No. 3460			German Naval Budget, 1922-1923 - precis and summary	1922-1923	 	Vol. 14			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670554
>>>>>> 	ADM 116/1945	Case No. 3460			War Material Post-war factories and replacements of war material; None to be allowed for German museums; Sporting guns; Sale or transfer to neutral countries; War products for commercial purposes and for restitution to the Allies; Intelligence reports, etc.; Turkish war material in Germany; Ownership of German war material; War material in ceded territories (Schleswig, etc.); War material ordered in Germany by foreign powers before the war	1920-1924	 	Vol. 15			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670555
>>>>>> 	ADM 116/1946	Case No. 3460			List of authorised stocks for German post-war fleet	1921-1922	 	Vol. 16			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670556
>>>>>> 	ADM 116/1947	Case No. 3460			List of authorised stocks for German post-war fleet	1921-1922	 	Vol. 17			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670557
>>>>>> 	ADM 116/1948	Case No. 3460			German War Material	1919	 	Vol. 18			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670558
>>>>>> 	ADM 116/1949	Case No. 3460			Destruction of German war material; General correspondence; Sale to Finland, Denmark, Russia	1920-1924	 	Vol. 19			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670559
