Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
>>>>>> 	ADM 116/1950	Case No. 3460			German post-war factories - list of, to be retained (1920-1922)	1920-1922	 	Vol. 20			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670560
>>>>>> 	ADM 116/1951	Case No. 3460			Berlin Office Annual replacements of Naval war material - correspondence, etc.	1921-1922	 	Vol. 21			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670561
>>>>>> 	ADM 116/1952	Case No. 3460			War Material Progress reports on destruction of war material, December 1920, December 1922; Final reports from districts, January 1923; 'P' Lists of war material	1920-1923	 	Vol. 22			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670562
>>>>>> 	ADM 116/1953	Case No. 3460			Shipment, sale, etc., to Ireland Spain, Sweden and Holland	1920-1923	 	Vol. 23			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670563
>>>>>> 	ADM 116/1954	Case No. 3460			Post-war Factories Miscellaneous correspondence re plant and equipment from 1st October, 1921 to 8th December, 1922; Carl Zeiss, Jena - Report on works by Inst. Cdr. Bassett, R.N. and Lieut. Reeve, R.N.V.R.; List of requirements of laboratory and examination apparatus for munitions for the post-war fleet and coast defence	1921-1922	 	Vol. 24			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670564
>>>>>> 	ADM 116/1955	Case No. 3460			Berlin Office Pack 1A - Typewriters and office supplies. Pack 2A - Wireless telegraphy; General arrangements and inspections; Codes used by Germans since Peace treaty	1921-1923	 	Vol. 25			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670565
>>>>>> 	ADM 116/1956	Case No. 3460			German post-war factories and replacements of war material (1920-1922)	1920-1922	 	Vol. 26			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670566
>>>>>> 	ADM 116/1957	Case No. 3460			German post-war fleet and coastal fortifications; Ammunition and war material requirements, docks, etc., up to 31st May, 1921 (1920-1921)	1920-1921	 	Vol. 27			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670567
>>>>>> 	ADM 116/1958	Case No. 3460			German post-war fleet and coastal fortifications; Ammunition and war material requirements, stocks, etc.	1921-1922	 	Vol. 28			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670568
>>>>>> 	ADM 116/1959	Case No. 3460			German post-war fleet and coastal fortifications; Ammunition and war material requirements, stocks, etc.	1922	 	Vol. 29			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670569
>>>>>> 	ADM 116/1960	Case No. 3460			German post-war fleet and coastal fortifications; Ammunition and war material requirements, stocks, etc.	1922-1923	 	Vol. 30			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670570
>>>>>> 	ADM 116/1961	Case No. 3460			Armament of fortresses; Equipment, Ammunition, etc.	1921-1923	 	Vol. 31			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670571
>>>>>> 	ADM 116/1962	Case No. 3460			Germany - Gun ranges and their equipment (1921-1923)	1921-1923	 	Vol. 32			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670572
>>>>>> 	ADM 116/1963	Case No. 3460			War Material Inspection of factories; Concealment of war material; Arisings from destruction; War material to Danzig	1920-1922	 	Vol. 33			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670573
>>>>>> 	ADM 116/1964	Case No. 3460			Wireless telegraphy and submarine signalling gear; Searchlights for signal stations, harbour entrances, etc.	1920-1922	 	Vol. 34			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670574
>>>>>> 	ADM 116/1965	Case No. 3460			German coastal fortifications, Armament, etc. - Correspondence	1920-1921	 	Vol. 35			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670575
>>>>>> 	ADM 116/1966	Case No. 3460			German coastal fortifications, Armament, etc. - Correspondence	1922	 	Vol. 36			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670576
>>>>>> 	ADM 116/1967	Case No. 3460			German coastal fortifications, Armament, etc. - Correspondence	1921-1923	 	Vol. 37			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670577
>>>>>> 	ADM 116/1968	Case No. 3460			Coastal fortifications - Short range weapons; Machine guns; Searchlights	1920-1923	 	Vol. 38			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670578
>>>>>> 	ADM 116/1969	Case No. 3460			Fortifications - Lists of; Inspections (N.I.A.C.C. and M.I.A.C.C.); Personnel of Commissions; Fortifications to be retained by Germany; Rights of I.A.C.C.'s	1920	 	Vol. 39			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670579
>>>>>> 	ADM 116/1970	Case No. 3460			Berlin Office Docks and Docks Material Pack 3A - 1	1920-1924	 	Vol. 40			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670580
>>>>>> 	ADM 116/1971	Case No. 3460			Pack 3A-2 8. Inspections and reports of inspections; List of material to be delivered; 3. Distribution; 4. Cranes, dredgers, floating workshops, etc; 5. Definition of work 'displacement'; 6. Docks at Danzig; 7. Instructions and arrangements for delivery; 8. Japanese offer of option material to Admiralty	1920-1921	 	Vol. 41			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670581
>>>>>> 	ADM 116/1972	Case No. 3460			Pack 3A - 9	1920-1924	 	Vol. 42			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670582
>>>>>> 	ADM 116/1973	Case No. 3460			Pack 3A - 9. (Section 42) 250-ton floating crane 10.Bills and accounts 11.Drawings and documents required 12.Damage to buoys in river Jade by floating dock 13.Sale of surrendered harbour material	1921-1922	 	Vol. 43			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670583
>>>>>> 	ADM 116/1974	Case No. 3460			Particulars of floating and submarine pressure docks; Transfer of docks to neutrals; Austrian floating dock built in Germany and claimed by Italians; Sale of docks to British firms	1920	 	Vol. 44			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670584
>>>>>> 	ADM 116/1975	Case No. 3460			Submarines, pressure docks and German salvage vessels Vulkan and Cyclops; Docks, tugs and dredgers. Correspondence and telegrams	1918-1919	 	Vol. 45			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670585
>>>>>> 	ADM 116/1976	Case No. 3460			German Submarines Disposal, storage and delivery of engines; Allocation of submarines; Correspondence, etc. - Salvage vessels and pressure docks; Submarines to be broken up - Hulls for commerce; Submarines building in Denmark and alleged construction in Germany	1920-1924	 	Vol. 46			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670586
>>>>>> 	ADM 116/1977	Case No. 3460			Berlin Records Submarine diesel engines - Correspondence	1920-1921	 	Vol. 47			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670587
>>>>>> 	ADM 116/1978	Case No. 3460			Submarine diesel engines - Correspondence	1921-1923	 	Vol. 48			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670588
>>>>>> 	ADM 116/1979	Case No. 3460			Oil Tankers - Allocation, etc.; U.S. attitude and protest with regard to withdrawal of exemption from delivery of the tankers in question	1919-1920	 	Vol. 49			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670589
>>>>>> 	ADM 116/1980	Case No. 3460			Aircraft - Arming seaplanes for mine searching; Sale of aircraft by Germany to other countries carrying out armistice terms	1919	 	Vol. 50			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670590
>>>>>> 	ADM 116/1981	Case No. 3460			Heligoland General questions; Marine Biological Institution; Life Boat Society's slipway; Pay and allowances of sub-committee; Building required as Roman Catholic Church; Progress reports on demolition; Arisings from demolition	1919-1921	 	Vol. 51			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670591
>>>>>> 	ADM 116/1982	Case No. 3460			Proposals for demolition of fortifications and works; Plans, etc., of harbour and works	1920-1921	 	Vol. 52			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670592
>>>>>> 	ADM 116/1983	Case No. 3460			Berlin Office Vessels to be retained in Germany; Guns, ammunition, etc., M Installations; Sound signalling gear; Torpedoes, torpedo tubes, torpedo ranges; Post-war fleet - Proposals for building new vessels for Germany; Storage depots for post-war fleet.Disposition of German war vessels on 1st July, 1924; Naval construction and armament of replacement units of post-war fleet; Vessels to be placed in reserve	1920-1923	 	Vol. 53			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670593
>>>>>> 	ADM 116/1984	Case No. 3460			Guns and mountings, mine throwers, heavy and light machine guns, aiming rifles, etc., etc., for the post-war fleet and K.W.A.; English and German lists showing registered numbers, etc.	1922-1924	 	Vol. 54			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670594
>>>>>> 	ADM 116/1985	Case No. 3460			German post-war fleet - Storage depots, ranges and workshops, retention and closing down	1921-1923	 	Vol. 55			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670595
>>>>>> 	ADM 116/1986	Case No. 3460			German post-war fleet - Proposals to build new vessels for motor boats at Wilhelmshaven; Anti-submarine protection gear; Mine layers; Torpedoes, torpedo tubes and w/t gear for	1920-1921	 	Vol. 56			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670596
>>>>>> 	ADM 116/1987	Case No. 3460			German post-war fleet - Guns, ammunition, etc., for	1920-1922	 	Vol. 57			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670597
>>>>>> 	ADM 116/1988	Case No. 3460			Miscellaneous correspondence re disposal of enemy warships; Movements of vessels in the Baltic, etc., etc.	1919-1923	 	Vol. 58			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670598
>>>>>> 	ADM 116/1989	Case No. 3460			German war vessels - Disposal transfer to neutrals, breaking-up, conversion into merchant ships, etc., Scapa Flow incident; Commission for disposal of enemy warships	1919	 	Vol. 59			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670599
>>>>>> 	ADM 116/1990	Case No. 3460			Equipment for ships delivered to France and Italy - Correspondence	1920-1921	 	Vol. 60			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670600
>>>>>> 	ADM 116/1991				Material removed from German warships being broken up - Monthly returns	1920-1921	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670601
>>>>>> 	ADM 116/1992	Case No. 3460			Berlin Office German war vessels to be surrendered Pack 12A. 1. Selection of vessels; 2. Distribution among Allies; 3. Equipment on board and spare - disposal; 4. See separate volume (63); 5. Light cruisers; 6. Supply of coal (not received); 7. Rheinland; 8. Destroyers; 9. Vessels in British ports (disposal of)	1920-1923	 	Vol. 62			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670602
>>>>>> 	ADM 116/1993	Case No. 3460			Pack 12A - 4. Method of delivery; Certificates, etc. Parts I, II, III, IV and V	1920	 	Vol. 63			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670603
>>>>>> 	ADM 116/1994	Case No. 3460			Pack 13A - 4. Vessels to be broken up - Definition of the term 'breaking up' and conversion of war vessels for mercantile purposes	1920-1921	 	Vol. 64			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670604
>>>>>> 	ADM 116/1995	Case No. 3460			Pack 12A - 3(15). Equipment of ships delivered to France and Italy	1921-1924	 	Vol. 65			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670605
>>>>>> 	ADM 116/1996	Case No. 3460			Pack 13A - Vessels to be broken up - Vessels; Engines; Materials arising	1920-1923	 	Vol. 66			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670606
>>>>>> 	ADM 116/1997	Case No. 3460			Pack 19A - Ships; Ports; Depots	1920-1924	 	Vol. 67			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670607
>>>>>> 	ADM 116/1998	Case No. 3460			Pack 8A - 15. Reports of progress; 18. Motor vehices, sale of; surrender of accommodation; Final withdrawal; 22. Expenses of advance commission; 23. Honours, medals, etc. Pack 9A - 1. Meetings of N.I.A.C.C.; 2. Meetings with Naval Peace Commission	1922-1924	 	Vol. 68			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670608
>>>>>> 	ADM 116/1999	Case No. 3460			Miscellaneous Papers Lists of reserve guns and mountings; Explosives required commercially; Reports in German gun factories; Reduction of dockyards and naval establishments; Procedure of communications by Germany relative to Naval, Military and Air clauses of Treaty; Miscellaneous applications by German inventors	1920-1922	 	Vol. 69			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670609
>>>>>> 	ADM 116/2000	Case No. 3460			Mines and Minesweeping - German representation of I.M.C.C.; Mine clearance operations by Germans; Mines to be carried by German post-war fleet and for coast defence purposes; Depth charges; Minefields of E. coast of America; Sale and disposal of minesweepers and mine-sweeping material; Post-war stocks of minesweeping gear; Annual replacements	1920-1922	 	Vol. 70			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670610
>>>>>> 	ADM 116/2001	Case No. 3460			Miscellaneous - 1. German Naval and publications; 2. Press extract reports; 3. Intelligence reports	1920-1924	 	Vol. 71			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670611
>>>>>> 	ADM 116/2002	Case No. 3460			Berlin Pack 20A - H.M. Ships and Allied war vessels - Movements; Leave for crews; Sailing orders, etc.	1920-1924	 	Vol. 72			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670612
>>>>>> 	ADM 116/2003	Case No. 3460			Berlin Office Pack 21A - Allied merchant shipping; Movements in German waters. Pack 22A - German merchant shipping, employment of, by Allied and neutral governments. Pack 23A - Reparations commissions	1921-1923	 	Vol. 73			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670613
>>>>>> 	ADM 116/2004	Case No. 3460			Repatriation of German, Russian and Austrian prisoners	1919	 	Vol. 74			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670614
>>>>>> 	ADM 116/2005	Case No. 3460			German personnel - German post-war Naval, Military and Air personnel	1920-1923	 	Vol. 75			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670615
>>>>>> 	ADM 116/2006	Case No. 3460			German merchant ships - Miscellaneous papers	1919	 	Vol. 76			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670616
>>>>>> 	ADM 116/2007	Case No. 3460			Russian and Baltic affairs	1919	 	Vol. 77			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670617
>>>>>> 	ADM 116/2008	Case No. 3460			War Material - Transport of Naval material; Import and export war material licences	1920-1924	 	Vol. 78			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3670618
>>>>   				LEAGUE OF NATIONS DISARMAMENT CONFERENCE			 								C70278
>>>>>> 	ADM 116/2529	Case No. 2410			Report of Joint Commission	1926-1927	 	Vol. 1			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671143
>>>>>> 	ADM 116/2530	Case No. 2410			British and French proposals	1927	 	Vol. 2			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671144
>>>>>> 	ADM 116/2531	Case No. 2410			Air armament and chemical warfare	1927	 	Vol. 3			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671145
>>>>>> 	ADM 116/2532	Case No. 2410			Dutch proposals re Merchant ships	1927	 	Vol. 4			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671146
>>>>>> 	ADM 116/2533	Case No. 2410			Provisional Minutes	1927	 	Vol. 5			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671147
>>>>>> 	ADM 116/2534	Case No. 2410			Russian proposals	1927-1928	 	Vol. 6			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671148
>>>>>> 	ADM 116/2535	Case No. 2410			Air armament and chemical warfare	1928-1929	 	Vol. 7			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671149
>>>>>> 	ADM 116/2536	Case No. 2410			Gas warfare and press reports	1929	 	Vol. 8			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671150
>>>>>> 	ADM 116/2537	Case No. 2410			Miscellaneous papers, telegrams etc.	1930	 	Vol. 9			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671151
>>>>>> 	ADM 116/2538	Case No. 2410			Naval Armament	1930	 	Vol. 10			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671152
>>>>>> 	ADM 116/2539	Case No. 2410			Budgetary limitations	1930	 	Vol. 11			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671153
>>>>>> 	ADM 116/2540	Case No. 2410			Limitation of air armament	1930	 	Vol. 12			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671154
>>>>>> 	ADM 116/2541	Case No. 2410			Civil Aviation	1930	 	Vol. 13			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671155
>>>>>> 	ADM 116/2542	Case No. 2410			Report by Admiralty representative	1930-1931	 	Vol. 14			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671156
>>>>>> 	ADM 116/2543	Case No. 2410			Printed reports	1927-1928	 	Vol. 15			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671157
>>>>>> 	ADM 116/2544	Case No. 2410			Printed reports	1930-1931	 	Vol. 16			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671158
>>>>>> 	ADM 116/2545	Case No. 2410			Printed reports	1927-1930	 	Vol. 17			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671159
>>>>>> 	ADM 116/2546	Case No. 2494			Training of Boys - accommodation	1926-1929	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671160
>>>>>> 	ADM 116/2547	Case No. 2645			China Station - reports	1926-1928	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671161
>>>>>> 	ADM 116/2548	Case No. 2831			League of Nations - economic sanctions	1926-1928	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671162
>>>>>> 	ADM 116/2549	Case No. 3197			Civilian warders at Naval Hospitals in lieu of Metropolitan Police	1926-1929	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671163
>>>>>> 	ADM 116/2550	Case No. 3416			Fleet Air Arm - future programme	1926-1929	 	Vol. 1			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671164
>>>>>> 	ADM 116/2551	Case No. 3416			Fleet Air Arm - future programme	1929-1934	 	Vol. 2			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671165
>>>>>> 	ADM 116/2552	Case No. 3432			Scapa Flow - obstructions	1926-1931	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671166
>>>>>> 	ADM 116/2553	Case No. 3632			Guns, ammunition and projectiles, research - Duckham Committee	1926-1928	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671167
>>>>>> 	ADM 116/2554	Case No. 3668			Short air course for junior Officers R.N. and R.M.	1926-1932	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671168
>>>>>> 	ADM 116/2708	Case No. 2311			Volo Cemetery, Greece - DEVONSHIRE gun explosion, 1929	1929-1931	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671323
>>>>   				LONDON NAVAL CONFERENCE			 								C70279
>>>>>> 	ADM 116/2741	Case No. 1906			Minutes of Plenary meeting and Memoranda issued to delegates	1930	 	Vol. 1			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671356
>>>>>> 	ADM 116/2742	Case No. 1906			Minutes and Memoranda of First Committee	1930	 	Vol. 2			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671357
>>>>>> 	ADM 116/2743	Case No. 1906			Minutes and Memoranda of Experts Committee	1930	 	Vol. 3			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671358
>>>>>> 	ADM 116/2744	Case No. 1906			Minutes of unofficial meeting	1930	 	Vol. 4			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671359
>>>>>> 	ADM 116/2745	Case No. 1906			Records of unofficial conversations	1930	 	Vol. 5			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671360
>>>>>> 	ADM 116/2746	Case No. 1906			Secret Memoranda for British delegates only	1930	 	Vol. 6			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671361
>>>>>> 	ADM 116/2747	Case No. 1906			Minutes of U.K. and Commonwealth delegates	1930	 	Vol. 7			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671362
>>>>>> 	ADM 116/2748	Case No. 1906			Documents	1930	 	Vol. 8			Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671363
>>>>   				LEAGUE OF NATIONS DISARMAMENT CONFERENCE			 								C70280
>>>>>> 	ADM 116/2939	Case No. 4406			Effectives	1932-1934	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671554
>>>>>> 	ADM 116/2940	Case No. 4435			Conversations, informal meetings etc.	1932	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671555
>>>>>> 	ADM 116/2941	Case No. 4437			Draft Convention	1932-1933	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671556
>>>>>> 	ADM 116/2942	Case No. 4438			Draft Convention	1932-1933	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671557
>>>>>> 	ADM 116/2943	Case No. 4439			United Kingdom Draft Convention	1932-1934	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671558
>>>>>> 	ADM 116/2944	Case No. 4445			Dominions and Disarmament	1932-1933	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671559
>>>>>> 	ADM 116/2945	Case No. 4447			Germany's breach of the Versailles Treaty	1932-1934	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671560
>>>>>> 	ADM 116/2946	Case No. 4449			General papers	1932-1933	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671561
>>>>>> 	ADM 116/2947	Case No. 5487			Submarine Salvage and Life-saving policy 1932-1933	1932-1934	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671562
>>>>>> 	ADM 116/2948	Case No. 6012			Reductions of Administrative cost	1932-1933	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671563
>>>>>> 	ADM 116/2949	Case No. 10328			Navy Estimates 1932 - notes on	1932	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671564
>>>>>> 	ADM 116/2950	Case No. 2812			'The Queens House' - memorandum prepared by Admiralty Librarian	1933	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C3671565
