Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
>>>>>> 	WO 23/84				Miscellaneous	c.1846-1879	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169220
>>>>>>>	WO 23/84/1		WO 23/84/1)		Register of meritorious service annuities, c.1846-1879		 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6154085
>>>>>>>	WO 23/84/2		WO 23/84/2)		Register of Victoria Cross pensions, 1856-1879		 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6154086
>>>>   				IN PENSIONERS			 								C19035
>>>>>  				Muster Rolls	Lists pensioners at particular dates, often with subsequent dates of departure (the earlier volumes also include pay lists, and later there are lists of nurses employed at the hospital).	1702-1789	 								C91368
>>>>>> 	WO 23/124				Muster rolls	1702-1712	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169221
>>>>>> 	WO 23/125				Muster rolls	1714	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169222
>>>>>> 	WO 23/126				Muster rolls	1717	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169223
>>>>>> 	WO 23/127				Muster rolls	1728-1759	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169224
>>>>>> 	WO 23/128				Muster rolls	1763-1765; 1766-1769	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169225
>>>>>> 	WO 23/129				Muster rolls	1770-1776	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169226
>>>>>> 	WO 23/130				Muster rolls	1777-1782	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169227
>>>>>> 	WO 23/131				Muster rolls	1783-1789	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169228
>>>>>> 	WO 23/132				Muster rolls	1864-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169229
>>>>>  				Nominal Lists			 								C91369
>>>>>> 	WO 23/134				List of in pensioners, 25 March 1794 to 1813: deaths from 1 May 1795 to 1816	1794-1816	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169230
