Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
>>>>>> 	WO 23/66				Register of payments	1872-1877	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169277
>>>>>> 	WO 23/67				Register of payments	1877-1880	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169278
>>>>>  				Unattached Pay, Retired Full Pay, Military Pensions, Retired Pay, Half Pay and Military Allowances			 								C91378
>>>>>> 	WO 23/68				Register of payments: A-H	1880-1886	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169279
>>>>>> 	WO 23/69				Register of payments: I-R	1880-1886	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169280
>>>>>> 	WO 23/70				Register of payments: S-Z	1880-1886	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169281
>>>>>> 	WO 23/71				Register of payments: A-D	1886-1894	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169282
>>>>>> 	WO 23/72				Register of payments: E-K	1886-1894	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169283
>>>>>> 	WO 23/73				Register of payments: L-O	1886-1894	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169284
>>>>>> 	WO 23/74				Register of payments: R-Z	1886-1894	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169285
>>>>>  				Foreign Regiments			 								C91379
>>>>>> 	WO 23/79				Half pay and retired full pay: register of payments	1858-1868	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169288
>>>>>> 	WO 23/80				Half pay and retired full pay: register of payments	1868-1872	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169289
>>>>>> 	WO 23/81				Half pay and retired full pay: register of payments	1872-1876	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169290
>>>>>> 	WO 23/88				Pensions for wounds, widows' pensions and compassionate allowances: register of payments	1858-1868	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169287
>>>>>> 	WO 23/113				Widows' pensions and compassionate allowances: register of payments	1855-1858	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169286
>>>>>  				Miscellaneous			 								C91380
>>>>>> 	WO 23/82				Artillery and engineers: retired pay, half pay and pensions; register of entitlement	c.1810-c.1880	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169291
>>>>>> 	WO 23/89				Disembodied military, yeomanry, cavalry, local militia and volunteer corps' pensions: register of payments	1868-1872	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169293
>>>>>> 	WO 23/90				Disembodied military, yeomanry, cavalry, local militia and volunteer corps' pensions: register of payments	1872-1877	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169294
>>>>>> 	WO 23/91				Disembodied military, yeomanry, cavalry, local militia and volunteer corps' pensions: register of payments	1877-1882	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169295
>>>>>> 	WO 23/92				Auxiliary forces' pensions: register of payments	1882-1892	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169296
>>>>   				CIVILIAN EMPLOYEES			 								C19037
>>>>>> 	WO 23/93				Register of pensions and superannuations	c.1820-c.1890	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169297
>>>>>> 	WO 23/94				Register of pensions and superannuations	c.1820-c.1890	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169298
>>>>>> 	WO 23/95				Register of pensions and superannuations	c.1820-c.1890	 	Indexed			Open Document, Open Description	Normal Closure before FOI Act: 	30		C169299
>>>>>> 	WO 23/96				Superannuation allowances: register of payments: A-Z	1858-1868	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169301
>>>>>> 	WO 23/97				Superannuation allowances: register of payments: A-K	1868-1872	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169302
>>>>>> 	WO 23/98				Superannuation allowances: register of payments: L-Z	1868-1872	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169303
>>>>>> 	WO 23/99				Superannuation allowances: register of payments: A-K	1872-1877	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169304
>>>>>> 	WO 23/100				Superannuation allowances: register of payments: L-Z	1872-1877	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169305
>>>>>> 	WO 23/101				Superannuation allowances: register of payments: A-L	1877-1882	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169306
>>>>>> 	WO 23/102				Superannuation allowances: register of payments: M-Z	1877-1882	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169307
>>>>>> 	WO 23/103				Superannuation allowances: register of payments: A-L	1882-1892	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169308
>>>>>> 	WO 23/104				Superannuation allowances: register of payments: M-Z	1882-1892	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169309
>>>>>> 	WO 23/181				Nurses: appointments, certificates issued, resignations, etc	c.1857-1907	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169300
>>>>>> 	WO 23/161				Record of meritorious non-commissioned officers on the pension list of Chelsea Hospital	1836-1850	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169292
