Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
>>>>>>>	WO 33/1/1855/21	Paper number 21			Field Marshal Lord Raglan to Lord Panmure replying to criticism as to the condition of the army in Crimea	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215568
>>>>>>>	WO 33/1/1855/22	Paper number 22			Lord Panmure to Field Marshal Lord Raglan regarding condition of army under his command	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215569
>>>>>>>	WO 33/1/1855/23	Paper number 23			Quelques mots sur le Régime Militaire en France	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215570
>>>>>>>	WO 33/1/1855/24-25	Paper number 24 and 25			Proceedings of the Sanitary Commissioners appointed to proceed to Constantinople and Sebastopol	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215571
>>>>>>>	WO 33/1/1855/26	Paper number 26			Lord Panmure to Field Marshal Lord Raglan on future action in the Crimea 23rd April 1855	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215572
>>>>>>>	WO 33/1/1855/29	Paper number 29			Re-organization of the civil and military departments of the War Office	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215573
>>>>>>>	WO 33/1/1855/30	Paper number 30			Memorandum on details of the civil and military departments of the War Office	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215574
>>>>>>>	WO 33/1/1855/32	Paper number 32			Lord Panmure to Field Marshal Lord Raglan concerning co-operation with General Canrobert on future conduct of operations in the Crimea	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215575
>>>>>>>	WO 33/1/1855/33	Paper number 33			Report of committee on hospital conveyances	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215576
>>>>>>>	WO 33/1/1855/34	Paper number 34			Captain Sprye to Lord Panmure commenting on Sir Charles Trevelyan's evidence to the Committee on the state of the army before Sebastopol	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215577
>>>>>>>	WO 33/1/1855/35	Paper number 35			Correspondence as to the Black Sea naval operations. ¶ Missing at transfer	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215578
>>>>>>>	WO 33/1/1855/36	Paper number 36			Suggestions for amending the system of canteens at present existing on military stations	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215579
>>>>>>>	WO 33/1/1855/37	Paper number 37			Preliminary report of the Committee assembled by order from the Quarter-master General of the forces to consider the question of tents and waterproof coverings for the soldiers	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215580
>>>>>>>	WO 33/1/1855/38	Paper number 38			Captain Sprye to Lord Panmure. Suggestions, in continuation, for the more regular despatch and distribution of clothing, camp equipage, hospital stores and private baggage, to the army serving in the Black Sea, and for the introduction of greater efficiency into all the departments of Supply attached to it	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215581
>>>>>>>	WO 33/1/1855/39	Paper number 39			Report on the military expenditure of France	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215582
>>>>>>>	WO 33/1/1855/40	Paper number 40			Tables showing disposition and state of Russian forces	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215583
>>>>>>>	WO 33/1/1855/41	Paper number 41			Memorandum on the Austrian 'Kriegs-schule' or Ecole d'Etat Major	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215584
>>>>>>>	WO 33/1/1855/42	Paper number 42			Report from Rev. H. Moseley to Mr. Monsell M.P. on selection and examination of candidates for admission to the Royal Military Academy, Woolwich, and candidates for commissions	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215585
>>>>>>>	WO 33/1/1855/43	Paper number 43			Memorandum from Brevet Major J. McCaskill to Lord Panmure on the probable establishment requisites for the transport of supplies for the Russian army from Perecop to the south of the Crimea	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215586
>>>>>>>	WO 33/1/1855/44	Paper number 44			Report from Sir John McNeill and Col. Tulloch to Lord Panmure on an enquiry into the supply of the army in the Crimea and the arrangements of the Crimea	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215587
>>>>>>>	WO 33/1/1855/45	Paper number 45			Reports, memoranda, etc. on hospital conveyances from Field Marshal Lord Raglan to Lord Panmure 4th June 1855	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215588
>>>>>>>	WO 33/1/1855/46	Paper number 46			Report of Committee on barrack accommodation of the army. ¶ Missing from volume - but accessioned as WO 33/1/5 in 2018	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215589
>>>>>>>	WO 33/1/1855/47	Paper number 47			Report of Committee on hospital conveyances	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215590
>>>>>>>	WO 33/1/1855/48	Paper number 48			Papers on Austrian military education	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215591
>>>>>>>	WO 33/1/1855/49	Paper number 49			Mr. Taylor to Lord Panmure on proceedings of the Sanitary Commissioners in the Crimea	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215592
>>>>>>>	WO 33/1/1855/50	Paper number 50			Papers on the Vienna conference. ¶ Missing from volume - but accessioned as WO 33/1/6 in 2018	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215593
>>>>>>>	WO 33/1/1855/52	Paper number 52			Annual report on the instruction and experiments which have been carried on at the School of Muskeetry for the year ending 31st March, 1855	1855	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215594
