Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
       							 								
>>>    	WO 417			War Office: Army Casualty Lists, 1939-45 War	This series contains lists of casualties sustained by the British Army during the Second World War. There are volumes for officers/nurses, and separate volumes for other ranks. ¶ PLEASE NOTE: WO 417 piece numbers 1-102 inclusive: electronic images of these records can be searched online through our partner website.	1939-1947	102 file(s)			See also WO 361					C14541142
>>>>>> 	WO 417/1				Casualty Lists - Officers and Nurses 1 - 300	1939 Sep 03 - 1940 Sep 05	 				Open Document, Open Description	Open on Transfer			C14546880
>>>>>> 	WO 417/2				Casualty Lists - Officers and Nurses 301 - 800	1940 Sep 06 - 1942 Apr 17	 				Open Document, Open Description	Open on Transfer			C14546881
>>>>>> 	WO 417/3				Casualty Lists - Officers and Nurses 801 - 1000	1942 Apr 18 - 1942 Dec 07	 				Open Document, Open Description	Open on Transfer			C14546882
>>>>>> 	WO 417/4				Casualty Lists - Officers and Nurses 1001 - 1200	1942 Dec 08 - 1943 Jul 30	 				Open Document, Open Description	Open on Transfer			C14546883
>>>>>> 	WO 417/5				Casualty Lists - Officers and Nurses 1201 - 1400	1943 Jul 31 - 1944 Mar 22	 				Open Document, Open Description	Open on Transfer			C14546884
>>>>>> 	WO 417/6				Casualty Lists - Officers and Nurses 1401 - 1500	1944 Mar 23 - 1944 Jul 17	 				Open Document, Open Description	Open on Transfer			C14546885
>>>>>> 	WO 417/7				Casualty Lists - Officers and Nurses 1501 - 1600	1944 Jul 18 - 1944 Nov 10	 				Open Document, Open Description	Open on Transfer			C14546886
>>>>>> 	WO 417/8				Casualty Lists - Officers and Nurses 1535 - 1744	1944 Aug 26 - 1945 Apr 30	 				Open Document, Open Description	Open on Transfer			C14546887
>>>>>> 	WO 417/9				Casualty Lists - Officers and Nurses 1745 - 1947	1945 May 01 - 1945 Dec 31	 				Open Document, Open Description	Open on Transfer			C14546888
>>>>>> 	WO 417/10				Casualty Lists - Officers and Nurses 1948 - 2100	1946 Jan 01 - 1947 Sep 23	 				Open Document, Open Description	Open on Transfer			C14546889
>>>>>> 	WO 417/11				Casualty Lists - Other Ranks 1 - 200	1939 Sep 03 - 1940 May 09	 				Open Document, Open Description	Open on Transfer			C14546890
>>>>>> 	WO 417/12				Casualty Lists - Other Ranks 201 - 226	1940 May 10 - 1940 Jun 08	 				Open Document, Open Description	Open on Transfer			C14546891
>>>>>> 	WO 417/13				Casualty Lists - Other Ranks 227 - 242	1940 Jun 10 - 1940 Jun 27	 				Open Document, Open Description	Open on Transfer			C14546892
>>>>>> 	WO 417/14				Casualty Lists - Other Ranks 243 - 260	1940 Jun 28 - 1940 Jul 20	 				Open Document, Open Description	Open on Transfer			C14546893
>>>>>> 	WO 417/15				Casualty Lists - Other Ranks 261 - 274	1940 Jul 22 - 1940 Aug 06	 				Open Document, Open Description	Open on Transfer			C14546894
>>>>>> 	WO 417/16				Casualty Lists - Other Ranks 275 - 287	1940 Aug 07 - 1940 Aug 21	 				Open Document, Open Description	Open on Transfer			C14546895
>>>>>> 	WO 417/17				Casualty Lists - Other Ranks 288 - 303	1940 Aug 22 - 1940 Sep 09	 				Open Document, Open Description	Open on Transfer			C14546896
>>>>>> 	WO 417/18				Casualty Lists - Other Ranks 304 - 322	1940 Sep 10 - 1940 Oct 01	 				Open Document, Open Description	Open on Transfer			C14546897
>>>>>> 	WO 417/19				Casualty Lists - Other Ranks 323 - 342	1940 Oct 02 - 1940 Oct 24	 				Open Document, Open Description	Open on Transfer			C14546898
>>>>>> 	WO 417/20				Casualty Lists - Other Ranks 343 - 374	1940 Oct 25 - 1940 Nov 30	 				Open Document, Open Description	Open on Transfer			C14546899
>>>>>> 	WO 417/21				Casualty Lists - Other Ranks 375 - 422	1940 Dec 02 - 1941 Jan 27	 				Open Document, Open Description	Open on Transfer			C14546900
>>>>>> 	WO 417/22				Casualty Lists - Other Ranks 423 - 464	1941 Jan 28 - 1941 Mar 17	 				Open Document, Open Description	Open on Transfer			C14546901
